step,epoch,train_disc_loss,train_gen_loss
0,0,-0.05377289652824402,-0.06375937908887863
1,0,-0.19809769093990326,-0.1159486398100853
2,0,-0.3080975413322449,-0.19307322800159454
3,0,-0.39182889461517334,-0.2805253267288208
4,1,-0.3619646430015564,-0.46037405729293823
5,1,-0.2585213780403137,-0.6497506499290466
6,1,-0.10524505376815796,-0.8461154103279114
7,1,0.05942690372467041,-0.9686643481254578
8,2,0.22883588075637817,-1.0678027868270874
9,2,0.32837337255477905,-1.005428671836853
10,2,0.3284239172935486,-0.8175018429756165
11,2,0.2396090030670166,-0.5248798727989197
12,3,0.08676864206790924,-0.1368250846862793
13,3,-0.09462404251098633,0.26632601022720337
14,3,-0.2648019790649414,0.6458094716072083
15,3,-0.37276503443717957,0.9394934177398682
16,4,-0.37974482774734497,1.0905112028121948
17,4,-0.30195051431655884,1.107972264289856
18,4,-0.17055976390838623,1.0261642932891846
19,4,-0.007865071296691895,0.8657771944999695
20,5,0.15117555856704712,0.648105263710022
21,5,0.2530690133571625,0.4442214071750641
22,5,0.2715672254562378,0.29415762424468994
23,5,0.23470504581928253,0.1699877828359604
24,6,0.14117632806301117,0.09790481626987457
25,6,0.021706953644752502,0.03735263645648956
26,6,-0.10798891633749008,-0.009294066578149796
27,6,-0.2108556628227234,-0.07824549078941345
28,7,-0.2925916016101837,-0.16263343393802643
29,7,-0.3084193170070648,-0.2857322692871094
30,7,-0.2699388563632965,-0.4338309168815613
31,7,-0.17617857456207275,-0.5991551280021667
32,8,-0.02719050645828247,-0.7524621486663818
33,8,0.09787797927856445,-0.8355692028999329
34,8,0.18725955486297607,-0.8278879523277283
35,8,0.22716641426086426,-0.7285823225975037
36,9,0.21140554547309875,-0.5473107695579529
37,9,0.1214095950126648,-0.2755224108695984
38,9,0.006115391850471497,0.02225349470973015
39,9,-0.11378435790538788,0.3219960331916809
40,10,-0.21033647656440735,0.5828574299812317
41,10,-0.2499082386493683,0.7555208802223206
42,10,-0.24183571338653564,0.8534314632415771
43,10,-0.15146756172180176,0.8201268911361694
44,11,-0.06334501504898071,0.7529488205909729
45,11,0.03687286376953125,0.6289450526237488
46,11,0.11457675695419312,0.495564341545105
47,11,0.14540839195251465,0.3819989562034607
48,12,0.14352929592132568,0.26614323258399963
49,12,0.10511595010757446,0.1839113086462021
50,12,0.04452992230653763,0.10715648531913757
51,12,-0.029795685783028603,0.04429931566119194
52,13,-0.09222006797790527,-0.02866412326693535
53,13,-0.14283785223960876,-0.0951070562005043
54,13,-0.15613818168640137,-0.1986820548772812
55,13,-0.13934564590454102,-0.27906322479248047
56,14,-0.10591328144073486,-0.3769335448741913
57,14,-0.043664783239364624,-0.4614831209182739
58,14,0.024128735065460205,-0.5217173099517822
59,14,0.09442436695098877,-0.5328860282897949
60,15,0.09849447011947632,-0.45391228795051575
61,15,0.09232005476951599,-0.3510713577270508
62,15,0.06186820566654205,-0.20740987360477448
63,15,0.015450596809387207,-0.042777448892593384
64,16,-0.031086381524801254,0.11494768410921097
65,16,-0.07021516561508179,0.25914543867111206
66,16,-0.0929727554321289,0.3706938922405243
67,16,-0.08890166878700256,0.4405886232852936
68,17,-0.06479772925376892,0.4562627375125885
69,17,-0.03423649072647095,0.44708770513534546
70,17,0.012922435998916626,0.39151301980018616
71,17,0.04420262575149536,0.32949724793434143
72,18,0.05901935696601868,0.2604452073574066
73,18,0.05422025918960571,0.19645985960960388
74,18,0.039275601506233215,0.13804958760738373
75,18,0.01788715273141861,0.07911566644906998
76,19,-0.0051763616502285,0.02468639612197876
77,19,-0.024631718173623085,-0.029073109850287437
78,19,-0.03554394096136093,-0.0793587788939476
79,19,-0.04461405426263809,-0.13109010457992554
