step,epoch,train_disc_loss,train_gen_loss
0,0,-0.12300229072570801,-0.1847998946905136
1,0,-0.3366256356239319,-0.20436424016952515
2,0,-0.49692070484161377,-0.27363741397857666
3,0,-0.5305625200271606,-0.4484630823135376
4,1,-0.4183013439178467,-0.7189348340034485
5,1,-0.2008487582206726,-1.0115013122558594
6,1,0.05256009101867676,-1.249582290649414
7,1,0.22371649742126465,-1.3328875303268433
8,2,0.4625396132469177,-1.3493281602859497
9,2,0.435757577419281,-1.0553162097930908
10,2,0.2703046500682831,-0.5977144837379456
11,2,0.016797393560409546,-0.0683923289179802
12,3,-0.2314021736383438,0.4290366768836975
13,3,-0.41729941964149475,0.8451310992240906
14,3,-0.49586427211761475,1.1173301935195923
15,3,-0.4443337321281433,1.2153643369674683
16,4,-0.23591870069503784,1.0653715133666992
17,4,0.02565634250640869,0.7855073809623718
18,4,0.18566972017288208,0.5539586544036865
19,4,0.273253470659256,0.3483891189098358
20,5,0.24528679251670837,0.22747616469860077
21,5,0.16658779978752136,0.13687925040721893
22,5,0.05445709079504013,0.0818566307425499
23,5,-0.06214861944317818,0.02832063101232052
24,6,-0.15023502707481384,-0.04034137725830078
25,6,-0.17849060893058777,-0.15220724046230316
26,6,-0.19547508656978607,-0.2516133189201355
27,6,-0.13486754894256592,-0.38949769735336304
28,7,-0.053079307079315186,-0.5027627348899841
29,7,0.009974360466003418,-0.5595306158065796
30,7,0.059408366680145264,-0.5609239935874939
31,7,0.07173359394073486,-0.5058125853538513
32,8,0.07083049416542053,-0.40908578038215637
33,8,0.03711068630218506,-0.2748347222805023
34,8,-0.00033770501613616943,-0.13403846323490143
35,8,-0.04400788992643356,0.009472784586250782
36,9,-0.05881599336862564,0.11116229742765427
37,9,-0.06860072910785675,0.18634583055973053
38,9,-0.0499228835105896,0.2079908400774002
39,9,-0.021902695298194885,0.19125741720199585
40,10,-0.004078656435012817,0.17508317530155182
41,10,0.009784206748008728,0.1376952975988388
42,10,0.019136257469654083,0.09575659036636353
43,10,0.01596924662590027,0.05339052900671959
44,11,0.011343590915203094,0.012323974631726742
45,11,0.000898333266377449,-0.03337743505835533
46,11,-0.008612923324108124,-0.07682592421770096
47,11,-0.015530712902545929,-0.12693031132221222
48,12,-0.020054131746292114,-0.15845169126987457
49,12,-0.02087952196598053,-0.1879507452249527
50,12,-0.0163457989692688,-0.21386630833148956
51,12,-0.01390838623046875,-0.23555821180343628
52,13,-0.006763756275177002,-0.23681724071502686
53,13,-0.005906164646148682,-0.22910146415233612
54,13,-0.003402695059776306,-0.21550190448760986
55,13,-0.006196260452270508,-0.1918552815914154
56,14,-0.008133143186569214,-0.16427931189537048
57,14,-0.011145606637001038,-0.13491138815879822
58,14,-0.012180380523204803,-0.1140335351228714
59,14,-0.015266522765159607,-0.09032312035560608
60,15,-0.01555023342370987,-0.07946330308914185
61,15,-0.016802817583084106,-0.06598815321922302
62,15,-0.01409166306257248,-0.06439398974180222
63,15,-0.014450393617153168,-0.06631013005971909
64,16,-0.012951835989952087,-0.07325922697782516
65,16,-0.013509251177310944,-0.08366142213344574
66,16,-0.013528190553188324,-0.09463503956794739
67,16,-0.01585744321346283,-0.10804509371519089
68,17,-0.015154041349887848,-0.11926686018705368
69,17,-0.017660796642303467,-0.1333504170179367
70,17,-0.015779659152030945,-0.14815010130405426
71,17,-0.01795986294746399,-0.15293322503566742
72,18,-0.018140628933906555,-0.1646217703819275
73,18,-0.018852651119232178,-0.17015771567821503
74,18,-0.019187241792678833,-0.17477203905582428
75,18,-0.015444472432136536,-0.17428714036941528
76,19,-0.01976706087589264,-0.17490753531455994
77,19,-0.01809677481651306,-0.17597751319408417
78,19,-0.018455490469932556,-0.16960768401622772
79,19,-0.01968170702457428,-0.17127098143100739
80,20,-0.019146010279655457,-0.1622939258813858
81,20,-0.020427361130714417,-0.15404251217842102
82,20,-0.01832592487335205,-0.15253354609012604
83,20,-0.02328447997570038,-0.1445208638906479
84,21,-0.022167593240737915,-0.14751146733760834
85,21,-0.020190566778182983,-0.14552809298038483
86,21,-0.021401941776275635,-0.14607468247413635
87,21,-0.022820353507995605,-0.14297457039356232
88,22,-0.021633893251419067,-0.14765264093875885
89,22,-0.02135491371154785,-0.15009617805480957
90,22,-0.02178528904914856,-0.15680478513240814
91,22,-0.0228177011013031,-0.161362886428833
92,23,-0.022816836833953857,-0.1698436141014099
93,23,-0.022372916340827942,-0.1730622798204422
94,23,-0.02281375229358673,-0.17933888733386993
95,23,-0.025075390934944153,-0.1820671558380127
96,24,-0.0228586345911026,-0.18249252438545227
97,24,-0.02350124716758728,-0.18653076887130737
98,24,-0.02256782352924347,-0.19054937362670898
99,24,-0.02639627456665039,-0.18960320949554443
100,25,-0.024115681648254395,-0.19189149141311646
101,25,-0.024188444018363953,-0.19323687255382538
102,25,-0.024605602025985718,-0.19236353039741516
103,25,-0.022922232747077942,-0.19486436247825623
104,26,-0.024739503860473633,-0.1896710842847824
