step,epoch,train_disc_loss,train_gen_loss
0,0,-0.05641292780637741,-0.1254243552684784
1,0,-0.05809730291366577,-0.1519961804151535
2,0,-0.05343647301197052,-0.1826445460319519
3,0,-0.06208616495132446,-0.2176206260919571
4,1,-0.04593414068222046,-0.2567058503627777
5,1,-0.04764559864997864,-0.29573002457618713
6,1,-0.04053255915641785,-0.32774391770362854
7,1,-0.05599066615104675,-0.3576982617378235
8,2,-0.05910930037498474,-0.38454341888427734
9,2,-0.07008588314056396,-0.399574875831604
10,2,-0.08905503153800964,-0.4099428057670593
11,2,-0.12087422609329224,-0.4101453125476837
12,3,-0.15141832828521729,-0.423382043838501
13,3,-0.17961901426315308,-0.4257742166519165
14,3,-0.21068701148033142,-0.4415092170238495
15,3,-0.22737377882003784,-0.4650512635707855
16,4,-0.23716354370117188,-0.5074836015701294
17,4,-0.23602771759033203,-0.5621307492256165
18,4,-0.21653389930725098,-0.6195937991142273
19,4,-0.20862984657287598,-0.7039793133735657
20,5,-0.1552940011024475,-0.770908534526825
21,5,-0.12880611419677734,-0.8556918501853943
22,5,-0.10546129941940308,-0.92267906665802
23,5,-0.08505725860595703,-0.926323652267456
24,6,-0.09291446208953857,-0.9855587482452393
25,6,-0.10521912574768066,-0.9876693487167358
26,6,-0.13630527257919312,-0.9692202210426331
27,6,-0.21607613563537598,-0.957733154296875
28,7,-0.23892784118652344,-0.938815176486969
29,7,-0.2691844701766968,-0.923021137714386
30,7,-0.2558342218399048,-0.958690345287323
31,7,-0.2154402732849121,-1.0084781646728516
32,8,-0.16148817539215088,-1.1115748882293701
33,8,-0.06222379207611084,-1.1999768018722534
34,8,0.02992987632751465,-1.2995855808258057
35,8,0.11821925640106201,-1.3967918157577515
36,9,0.18846189975738525,-1.4125500917434692
37,9,0.18844866752624512,-1.3968948125839233
38,9,0.17628824710845947,-1.3375734090805054
39,9,0.07446730136871338,-1.195932388305664
40,10,-0.029263615608215332,-1.0798885822296143
41,10,-0.11691313982009888,-0.9537057280540466
42,10,-0.1921175718307495,-0.8452792167663574
43,10,-0.2337251901626587,-0.8017053008079529
44,11,-0.20046758651733398,-0.8039112091064453
45,11,-0.10730278491973877,-0.8748918771743774
46,11,0.019767403602600098,-0.9465735554695129
47,11,0.10028785467147827,-0.9415494799613953
48,12,0.23791241645812988,-1.058274269104004
49,12,0.2710728645324707,-1.0136219263076782
50,12,0.22637975215911865,-0.9131240248680115
51,12,0.1135488748550415,-0.7492598295211792
52,13,-0.03210008144378662,-0.5408276319503784
53,13,-0.2006748616695404,-0.33005425333976746
54,13,-0.3621516227722168,-0.13117632269859314
55,13,-0.5111485719680786,0.061750881373882294
56,14,-0.4851955473423004,0.05771268904209137
57,14,-0.43619832396507263,0.047545403242111206
58,14,-0.2453535944223404,-0.12197978794574738
