step,epoch,train_disc_loss,train_gen_loss
0,0,-0.007772810757160187,0.1101238802075386
1,0,-0.13736236095428467,0.07041919976472855
2,0,-0.24991358816623688,0.016057370230555534
3,0,-0.32937389612197876,-0.09587154537439346
4,1,-0.33179783821105957,-0.21294918656349182
5,1,-0.30807504057884216,-0.34919339418411255
6,1,-0.22166037559509277,-0.5038986206054688
7,1,-0.05551856756210327,-0.7014235258102417
8,2,0.05021423101425171,-0.7731726169586182
9,2,0.2295454740524292,-0.835192084312439
10,2,0.2703703045845032,-0.7362989783287048
11,2,0.27652591466903687,-0.5454323887825012
12,3,0.19702835381031036,-0.28796595335006714
13,3,0.06784079968929291,0.06735898554325104
14,3,-0.09846869111061096,0.44397491216659546
15,3,-0.24083060026168823,0.7755141258239746
16,4,-0.356967568397522,1.0886133909225464
17,4,-0.36864906549453735,1.2429171800613403
18,4,-0.3196713328361511,1.3049664497375488
19,4,-0.25728344917297363,1.322629451751709
20,5,-0.07316958904266357,1.1435284614562988
21,5,0.06042909622192383,0.9871788620948792
22,5,0.16973906755447388,0.7915779948234558
23,5,0.23073679208755493,0.608494222164154
24,6,0.1915026307106018,0.5129861235618591
25,6,0.13835379481315613,0.4312901198863983
26,6,0.04928094148635864,0.35478508472442627
27,6,-0.0550345778465271,0.26725947856903076
28,7,-0.15964148938655853,0.22360053658485413
29,7,-0.24218681454658508,0.15970535576343536
30,7,-0.2859027087688446,0.0471799373626709
31,7,-0.2820141911506653,-0.03404393047094345
32,8,-0.2468055635690689,-0.1821655035018921
33,8,-0.1568426489830017,-0.31475692987442017
34,8,-0.07280707359313965,-0.41979581117630005
35,8,0.029270678758621216,-0.5041432976722717
36,9,0.11091771721839905,-0.4867337942123413
37,9,0.15732863545417786,-0.4108385443687439
38,9,0.14174389839172363,-0.2528183162212372
39,9,0.08100350201129913,-0.0014306290540844202
40,10,-0.013362303376197815,0.25966209173202515
41,10,-0.11268502473831177,0.5309079885482788
42,10,-0.18612658977508545,0.7532994151115417
43,10,-0.23595839738845825,0.9202690720558167
44,11,-0.2420554757118225,1.0607317686080933
45,11,-0.1839989423751831,1.0680482387542725
46,11,-0.10902172327041626,1.0375953912734985
47,11,-0.04117119312286377,0.9497506618499756
48,12,0.03436380624771118,0.8505286574363708
49,12,0.07891422510147095,0.7345067858695984
50,12,0.09822899103164673,0.6141565442085266
51,12,0.08206409215927124,0.5507072806358337
52,13,0.0382976233959198,0.4520329535007477
53,13,-0.006442070007324219,0.3575763404369354
54,13,-0.06028428673744202,0.30453917384147644
55,13,-0.09778153896331787,0.23415125906467438
56,14,-0.12871402502059937,0.13762226700782776
57,14,-0.13509202003479004,0.06480665504932404
58,14,-0.12445268779993057,-0.030315376818180084
59,14,-0.08578658849000931,-0.11155637353658676
60,15,-0.03448900580406189,-0.16418857872486115
61,15,0.013752326369285583,-0.21050848066806793
62,15,0.04098191857337952,-0.2107592076063156
63,15,0.07824987918138504,-0.15177159011363983
64,16,0.07352201640605927,-0.06712070852518082
65,16,0.05255838483572006,0.04394231736660004
66,16,0.015400275588035583,0.20064455270767212
67,16,-0.026262134313583374,0.3775061070919037
68,17,-0.05402308702468872,0.4836895763874054
69,17,-0.06628468632698059,0.5812652111053467
70,17,-0.06603926420211792,0.634694516658783
71,17,-0.04755896329879761,0.650679349899292
72,18,-0.01714146137237549,0.6458688378334045
73,18,0.007124602794647217,0.6200046539306641
74,18,0.036690473556518555,0.5783469676971436
75,18,0.04596763849258423,0.5206785798072815
76,19,0.050574928522109985,0.47139617800712585
77,19,0.046553611755371094,0.3926094174385071
78,19,0.034968405961990356,0.3373938798904419
79,19,0.018706530332565308,0.2989773452281952
80,20,0.0020561963319778442,0.23402948677539825
81,20,-0.01125401258468628,0.17958049476146698
82,20,-0.01762109249830246,0.1242513656616211
83,20,-0.013823743909597397,0.06203722581267357
84,21,-0.007696624845266342,0.038228269666433334
85,21,0.004675871226936579,0.00013971541193313897
86,21,0.017847927287220955,-0.005420229863375425
87,21,0.03037150576710701,0.0140415383502841
88,22,0.036121733486652374,0.019846655428409576
89,22,0.03711908683180809,0.045517291873693466
90,22,0.033167898654937744,0.1003660038113594
91,22,0.025448426604270935,0.17791041731834412
92,23,0.01817740499973297,0.1888589859008789
93,23,0.007478594779968262,0.2680395543575287
94,23,0.0010235607624053955,0.335183322429657
95,23,-0.008173823356628418,0.3740774989128113
96,24,-0.004035741090774536,0.4016207754611969
97,24,0.0014588236808776855,0.40837424993515015
98,24,0.007304668426513672,0.41188549995422363
99,24,0.011734843254089355,0.38028639554977417
